hash,author_name,change_type_ck,makefile_tags,has_new_template,TAGS
3b5e5764ae334064675eafea5d0c763ef137fb77,Leandro Dorileo,change;add,mappingR;vars;rules,,#REF!
fd274c9e1cfa566e6066e6d89aa218969244286b,Leandro Dorileo,add,mappingA;rules;vars,,#REF!
935ebeed0ab0dbf748f03e9953d202eea3318cd7,Leandro Pereira,change,rules,,#REF!
7393eef4c866324001c6cbf6e123ded2a5e2770a,Leandro Dorileo,add,mappingA;rules;vars,,#REF!
db16c65e722f842f7fdb97fec30e779745d1c5fa,Leandro Pereira,add,mappingR,,#REF!
34ddf12cabef8dcb8ce88998dce71e3661eb5cb2,Leandro Pereira,add,mappingR,,#REF!
1998d00b340c5b4e78024644d1e715ba38624380,Leandro Dorileo,add;remove,mappingA;rules;vars,,#REF!
857edca4038061e819d49093d115785022c0286b,Leandro Dorileo,add;change,mappingA;rules,CA,#REF!
8c7431c23b65ca1fb199f58c8ee4a3a15496a53a,Leandro Dorileo,rename,rename,,#REF!
3a584f0f839bdff8093a4f9006da500d446f8f53,Bruno Dilly,rename,rename,,#REF!
9be843b1b5570effaeed6b818abd3106aeceae8a,Leandro Dorileo,add,mappingA,,#REF!
0e67c99fc192e1a17d06bc2130ae8e8ccc55f85a,Anselmo L. S. Melo,remove,mappingA;rules;vars;ifneq,,#REF!
a6aa039af0cc900f8ca037c75e751831ddeb73b5,Murilo Belluzzo,add,mappingA,,#REF!
e96754052e230c60fed2d79d8dbd8cec76b5f3cb,Bruno Dilly,rename,rename,,#REF!
e8eb3bd39909a9610d8cd7e8c711f1125c8f40dd,Bruno Dilly,rename,rename,,#REF!
c28fdf680e02af4cfd0700113e7fd7c76ea77e02,Ederson de Souza,add,mappingA,,#REF!
162b5cb3f82ed8ad4eabc04c6d5c4fc729277e75,Leandro Dorileo,add,ifeq,,#REF!
45548bc2725591c931b22b29fc9fe0686bd04765,IvĂ¡n Briano,add,mappingR,,#REF!
d5243f9c58a02e10581374abe1d48c72e8b0e971,IvĂ¡n Briano,remove,mappingA,,#REF!
57bca65455fb1ff54218adbe8483a0a9caeabb9e,IvĂ¡n Briano,remove,mappingR,,#REF!
79fb5e70ccd8c6f90272ff95611a17cf3fa1b458,Bruno Dilly,add,mappingR,,#REF!
d9373c7cebbec1250030da6bb48fd43b33140d86,Bruno Dilly,add,mappingR,,#REF!
387956d6f1ff2a9a9025a8e6f4dad9f883773618,Guilherme Iscaro de Godoy,add,mappingR,,#REF!
8c73c7bb127f06b2de5c9da429244051728c472d,IvĂ¡n Briano,rename,rename,,#REF!
4480631b680a6fe026975acccadeac3166bded18,Gustavo Sverzut Barbieri,add,mappingA,,#REF!
991a57864ab0a9b9a11fc20b52e0bcefaadd076d,Gustavo Lima Chaves,add,mappingR,,#REF!
bc246ba17ce2b0fb512320979b136c11bc13b736,Luiz Ywata,add,mappingA,,#REF!
0b894e1711ebc044c22a7b3dadb8d7bf340c9217,Luiz Ywata,rename,rename,,#REF!
817424189358ecdc6a832f5436af41622e51b56c,Murilo Belluzzo,add,mappingR,,#REF!
e2201c94e28b56f16cffb0548656d452ef794812,Gustavo Lima Chaves,add;change,vars;rules,,#REF!
8c95fc0cf6743aaac0af28efb0f957e1fbeacf83,Leandro Pereira,add,mappingR,,#REF!
c5b3a20dc97bcb37eb0406249719dd5454963241,Leandro Pereira,add,mappingA,,#REF!
1b86e881acbe83e77e01aab049272524d838215b,Leandro Pereira,remove,mappingA,,#REF!
03a863699a65700863569d81a6ede4fdc544b60e,Bruno Dilly,rename,rename,,#REF!
2abe7e967828a33d0c3e26f2ca4915c115fb2d31,Guilherme Iscaro de Godoy,rename,rename,,#REF!
f3c689dec9deaf10521b985ae44120846b91937e,Gustavo Lima Chaves,add,mappingA;rules,,#REF!
6d951246521e866f764eedc3bbc394e3433a7f44,Rodrigo Chiossi,add,mappingA,,#REF!
09c63664bbd43824216a83fa2bda65e9b30007ac,Bruno Dilly,add,vars,,#REF!
d67352ee7bc89a7b1c5f1199bcd415cd7553bd0e,Guilherme Iscaro de Godoy,add;change,mappingA;ifneq;rules;vars;targets,,#REF!
2de410c781e9ac5bf2415480f76c9ad7b85be0d1,Guilherme Iscaro de Godoy,add,mappingA,,#REF!
5f5efc197da6366f50873c0c447ee3a386a83966,Otavio Pontes,add,mappingA,,#REF!
3acfc4c35355bab8211aa3bc0d6c42f4a728196f,Gustavo Lima Chaves,add,mappingR,,#REF!
cca042264ddc2eaa1e783faa947bbed20ab3ad91,Guilherme Iscaro de Godoy,add,mappingA,,#REF!
b527749fcc2779cdd26fb472dfaca0a7c0444ad5,Guilherme Iscaro de Godoy,add,mappingR,,#REF!
7fd601987e977e777ba1c0cace2c666dff26d913,Guilherme Iscaro de Godoy,add,mappingA,,#REF!
8215701730a62cb0346e7cd77acac5d20b336586,Luiz Ywata,add,mappingA,,#REF!
8681c5f6260f5d832eab79ba6237e35ebf1f5318,Otavio Pontes,add,mappingA,,#REF!
fcfd87e4d32c0d455b88a4194fd51e5945131c16,Flavio Ceolin,change;add,rules;var;target,,#REF!
3afd24e6eba488cef1a38d2fb356f19c562e6f0d,Flavio Ceolin,add,mappingA,,#REF!
4abd906e6fcf6905ca8301556a0a830167667d7e,Thiago Macieira,add,ifneq;vars,,#REF!
4ee0924d7aac22ceb0d21cf577f5980627deb593,Flavio Ceolin,add,mappingA;vars,,#REF!
a158685409e3f4000bae0d6d94fcb8aae2490d95,Guilherme Iscaro de Godoy,add,ifeq;ifneq,,#REF!
5faeaa8d19579229298541e4ab3d3d84c7309aa0,Guilherme Iscaro de Godoy,rename,rename,,#REF!
d60d585fddb3a01469f9bc8d6f84f5cbf0712f60,Guilherme Iscaro de Godoy,add;change,mappingA;targets,,#REF!
788906cfd47110ed20cb71e15a0728c0867affb7,Bruno Dilly,move;remove,mappingA,,#REF!
6035b25f5e7cfc815bc37a3fa61581dd2abf8a65,Bruno Dilly,add;change,ifeq;vars,,#REF!
df24bf10feb40ebf9b3549dd4201d9300bea6458,Bruno Dilly,rename,rename,,#REF!
