hash,author_name,change_type_fm,kconfig_tags,change_type_ck,makefile_tags,has_new_template,TAGS
7a0795432fcfd0e4917fc5f4a236204ef8e23d3d,Ederson de Souza,add,menu;feature,add,mappingA;ifeq,,#REF!
3556363e0f61dd4ec54f808880d9e1f2ad6defb3,Ederson de Souza,add,feature,new,mappingA,,#REF!
7edb9d26bf95c447f42247b4f3e3c350a7968991,Bruno Dilly,add,feature,new,mappingA,,#REF!
e689a223a8ffdd0bf2dfd4557275b704b40645d4,Gustavo Sverzut Barbieri,add,feature,new,mappingA,,#REF!
b99c0de75aa595e42cca3e7b7ab049da51e6ed22,Leandro Dorileo,add,depends,add;remove,ifeq,,#REF!
0fe43c4a7dd3816480055be005263b14f863a8b5,Ricardo de Almeida Gonzaga,add,feature;default,add,mappingA,,#REF!
40a46b0134686c36141a22c2a4f8f56832a88fe3,IvĂ¡n Briano,add,select,add,mappingA,,#REF!
5e11d54b6c02d25ceeeb621fb2a0151f51a079d9,Gustavo Lima Chaves,add,select,add,mappingA,,#REF!
da9e39a186a2d8eec896da6fff7123ef456fdaf4,Gustavo Lima Chaves,add,select,add,mappingA,,#REF!
b5e2f70b12d7bb8a9f6227bedf8528f31c4a23d7,Gustavo Lima Chaves,add,select,add,mappingA,,#REF!
81fcf36c14f614341dde9839d5da0aeddb7fa236,Gustavo Lima Chaves,add,select,add,mappingA,,#REF!
ecf696de10ee26d4b8028df244c82584fd4c9a9a,Gustavo Sverzut Barbieri,add,feature,new,mappingA,,#REF!
f06e26ab9733211c7d4cbd706837340839cbf672,Gustavo Sverzut Barbieri,add,feature,new;add,mappingA;mappingR,,#REF!
186c6f1431a8537f9f01ca9c5493390c5c461fed,Gustavo Sverzut Barbieri,change,depends,new,mappingA,,#REF!
329f8e18daed3df36c4c1a475c882a0784e95e50,IvĂ¡n Briano,add;new,feature;select,new,mappingA,,#REF!
d95a0021b37ce37ca1c89d34a1b7f278d71ad5d1,IvĂ¡n Briano,add,select,new;add,mappingA;rules;vars,,#REF!
cc3aac00d8fdaee1d6923a6e93b2c47baec2aa5d,Guilherme Iscaro de Godoy,add,feature,add,mappingA,,#REF!
b8fc5d5a0fd8d9984e26dd4b32483765f53a7c1b,IvĂ¡n Briano,add,select,add,mappingA;mappingR,,#REF!
580c1eebacf9c11020d37e022f61d24347223391,Bruno Dilly,add,feature,add,mappingA,,#REF!
9846ee415e8602f68e70dae69548eef2c481618d,Leandro Pereira,add,feature,add,mappingA,,#REF!
35457813e4b7bc6fbcac132af9e34a93dcb829f9,Otavio Pontes,add,feature,add,mappingA,,#REF!
ccd3dfbe28fd9e50ceeb15895bca3da993ea558f,Bruno Dilly,add,feature,add ,mappingA,,#REF!
5590e726f1c5a66fc8ff64f3918ae49dbe01cd65,Bruno Dilly,add,feature,add,mappingA;mappingR,,#REF!
1ae2dd3383329ef669e17a5e371a5b925a7a40bf,Flavio Ceolin,add,feature,add,mappingA,,#REF!
8d2e8aeb2c00a20775cc8f38f000c232de600ba1,Bruno Dilly,add;remove,feature,add;remove,mappingA,,#REF!
446bc7e43c97c7a54cb809980e76fb8552d11259,Caio Marcelo de Oliveira Filho,move,feature,move,mappingA,,#REF!
5293f12e59f600812cab4a197a238f60a870dc28,Flavio Ceolin,rename,rename,rename,rename,,#REF!
